article_link,headline,is_sarcastic
https://chaser.com.au/national/liberal-party-releases-we-are-in-major-debt-but-debt-isnt-necessarily-a-bad-thing-mugs/,"
Liberal Party releases ‘We are in major debt but debt isn’t necessarily a bad thing’ mugs ",1
https://chaser.com.au/national/liberal-minister-rushed-off-stage-after-man-spotted-with-rechargable-battery/,"
Liberal Minister rushed off stage after man spotted with rechargable battery ",1
https://chaser.com.au/general-news/nsw-voters-in-shock-after-whats-her-name-steps-down-as-labor-leader/,"
NSW voters in shock after what’s-her-name steps down as Labor Leader ",1
https://chaser.com.au/national/aussie-media-confused-after-seeing-us-journalists-quit-newscorp-over-made-up-story/,"
Aussie media confused after seeing US journalists quit Newscorp over made up story ",1
https://chaser.com.au/national/confused-peter-dutton-announces-space-force-to-keep-out-illegal-aliens/,"
Confused Peter Dutton announces space force to keep out illegal aliens ",1
https://chaser.com.au/national/labor-party-folds-following-alan-jones-endorsement/,"
Labor party calls it a day following Alan Jones endorsement ",1
https://chaser.com.au/national/government-launches-investigation-after-australian-of-the-year-shows-leadership-and-integrity-uncharacteristic-of-aussie-leaders/,"
Government launches investigation after Australian of the Year shows leadership and integrity uncharacteristic of Aussie leaders ",1
https://chaser.com.au/national/the-devil-is-social-media-says-guy-keeping-kids-in-an-island-prison/,"
“The devil is social media” says guy keeping kids on an island prison ",1
https://chaser.com.au/national/guy-who-spent-80m-on-non-existent-water-claims-electric-vehicles-are-a-waste-of-money/,"
Guy who spent $80m on non-existent water claims electric vehicles are a waste of money ",1
https://chaser.com.au/general-news/modern-day-jesus-local-man-conjures-8-weeks-of-toothpaste-from-empty-tube/,"
Modern day Jesus? Local man conjures 8 weeks of toothpaste from empty tube ",1
https://chaser.com.au/national/refugee-facing-indefinite-detention-glad-to-know-albo-voted-for-it-with-compassion/,"
Refugee facing indefinite detention glad to know Albo voted for it with compassion ",1
https://chaser.com.au/general-news/australians-confused-after-seeing-footage-of-scottish-treating-refugees-with-empathy/,"
Australians confused after seeing footage of Scottish treating refugees with empathy ",1
https://chaser.com.au/national/housing-crisis-solved-after-government-announces-everyone-can-just-afterpay-a-house/,"
Housing crisis solved after government announces everyone can just Afterpay a house ",1
https://chaser.com.au/national/lnp-clarifies-they-are-pro-life-except-when-it-involves-aged-care-first-nations-people-climate-change/,"
LNP clarifies they are ‘pro-life’ except when it involves aged care, First Nations people, climate change… ",1
https://chaser.com.au/national/hunt-suspects-he-might-have-fucked-up-after-even-sunrise-rips-him-a-new-one/,"
Greg Hunt suspects he might have fucked up after even Sunrise rips him a new one ",1
https://chaser.com.au/general-news/an-important-message-about-melbournes-lockdown-from-the-australian-federal-government/,"
An important message about Melbourne’s lockdown from the Australian Federal Government ",1
https://chaser.com.au/sport/billionaires-using-money-to-make-soccer-into-a-monopoly-is-wrong-says-newscorp-reporter/,"
“Billionaires using money to make soccer into a monopoly is wrong” says NewsCorp reporter ",1
https://chaser.com.au/general-news/man-who-looks-like-a-potato-sues-social-media-user-for-defamation/,"
Man who looks like a potato sues social media user for defamation ",1
https://chaser.com.au/entertainment/joe-rogan-apologises-for-dangerous-misinformation-and-reassures-fans-it-will-happen-again/,"
Joe Rogan apologises for dangerous misinformation and reassures fans ‘it will happen again’ ",1
https://chaser.com.au/national/evil-one-tops-polls-for-preferred-pm/,"
Evil One tops polls for preferred PM ",1
https://chaser.com.au/national/morrison-clarifies-when-he-said-allmighty-made-him-pm-he-was-talking-about-rupert-murdoch/,"
Morrison clarifies when he said the almighty made him PM, he was talking about Murdoch ",1
https://chaser.com.au/national/scott-morrison-solves-vaccine-debacle-by-ordering-20m-extra-prayers/,"
Morrison solves vaccine debacle by ordering 20 million extra prayers ",1
https://chaser.com.au/world/local-genius-would-rather-risk-disease-with-1-death-rate-than-jab-with-0-0017-death-rate/,"
Local genius would rather risk disease with 1% death rate than jab with 0.0017% death rate ",1
https://chaser.com.au/national/rare-photo-of-scomo-actually-working-sells-for-1-8-million-at-auction/,"
Rare photo of Scomo actually working sells for $1.8 million at auction ",1
https://chaser.com.au/general-news/exclusive-jogger-discovers-the-truth-runners-high-is-fucking-bullshit/,"
Exclusive: Jogger discovers the truth, “Runner’s high is fucking bullshit!” ",1
https://chaser.com.au/page/5/?s,,1
https://chaser.com.au/page/3/?s,,1
https://chaser.com.au/general-news/christian-faith-plummets-following-revelation-hawaii-guy-was-gods-pick-for-pm/,"
Christian faith plummets following revelation Hawaii Guy was God’s pick for PM ",1
https://chaser.com.au/national/prime-minister-makes-it-up-to-brittany-higgins-by-offering-her-a-milkshake/,"
Prime Minister makes it up to Brittany Higgins by offering her a milkshake ",1
https://chaser.com.au/general-news/nation-waiting-nervously-to-see-how-pm-will-fuck-up-higgins-meeting/,"
Nation waiting nervously to see how PM will fuck up Higgins meeting ",1
https://chaser.com.au/national/god-tells-pm-to-shut-the-fuck-up-and-listen-to-brittney-higgins/,"
God tells PM to ‘shut the fuck up and listen to Brittney Higgins’ ",1
https://chaser.com.au/world/israeli-airstrikes-kill-17-of-palestines-most-dangerous-children/,"
Israeli Airstrikes kill 17 of Palestine’s most dangerous children ",1
https://chaser.com.au/national-archive/ellen-hired-by-australian-parliament-as-workplace-culture-coordinator/,"
Ellen hired by Australian Parliament as Workplace-Culture Coordinator ",1
https://chaser.com.au/entertainment/whats-the-point-ellen-ends-show-after-not-being-allowed-to-abuse-employees-anymore/,"
“What’s the point?” Ellen ends show after not being allowed to abuse employees anymore ",1
https://chaser.com.au/page/7/?s,,1
https://chaser.com.au/page/5/?s,,1
https://chaser.com.au/entertainment/i-wish-there-was-more-people-who-werent-on-the-show-says-friends-reunion-viewer/,"
‘I wish there had been more people who weren’t on the show’ says Friends reunion viewer ",1
https://chaser.com.au/general-news/walkeys-win-best-irony-award-for-presenting-journalism-excellence-awards-on-sky-news/,"
Walkeys win ‘best irony’ award for presenting journalism excellence awards on Sky News ",1
https://chaser.com.au/general-news/dozens-mistake-red-orb-in-the-window-for-a-leering-barnaby-joyce/,"
Dozens mistake red orb in the window for a leering Barnaby Joyce ",1
https://chaser.com.au/general-news/scott-morrison-embarks-on-mission-to-the-sun-after-learning-its-made-of-gas/,"
Scott Morrison embarks on mission to the Sun after learning it’s made of gas ",1
https://chaser.com.au/general-news/government-solves-mouse-problem-by-releasing-a-million-cats-into-the-wild/,"
Government solves mouse problem by releasing a million cats into the wild ",1
https://chaser.com.au/national/vermin-plague-seen-swarming-canberra-leaving-locals-mortified/,"
Vermin plague seen swarming Canberra, leaving locals mortified ",1
https://chaser.com.au/national/government-wastes-hundreds-of-thousands-of-dollars-on-gas-energy-plant/,"
Government wastes hundreds of thousands of dollars on gas energy plant ",1
https://chaser.com.au/national/lattes-wont-solve-climate-change-says-man-who-thinks-milkshakes-will-solve-sexual-assault/,"
“Lattes won’t solve climate change” says man who thinks milkshakes will solve sexual assault ",1
https://chaser.com.au/national/pm-bases-climate-policy-on-gods-approach-to-jesus-our-kids-are-going-to-have-to-die-slowly-and-painfully-for-us-too/,"
PM bases climate policy on God’s approach to Jesus: ‘Our kids are going to die slowly and painfully’ ",1
https://chaser.com.au/national/australia-needs-more-jesus-says-pm-who-would-have-jesus-locked-up-if-he-came-here/,"
‘Australia needs more Jesus’ says PM who would have Jesus locked up if he came here ",1
https://chaser.com.au/entertainment/people-wear-clothes-to-industry-event/,"
People wear clothes to industry event ",1
https://chaser.com.au/national/asio-warns-of-increased-risk-of-religious-extremists-after-hearing-scomos-weird-speech/,"
ASIO warns of increased risk of religious extremists after hearing ScoMo’s weird speech ",1
https://chaser.com.au/general-news/government-unveil-new-consent-video-that-just-diagnoses-sex-offenders-with-adhd/,"
Government unveil new consent video that just diagnoses sex offenders with ADHD ",1
https://chaser.com.au/page/9/?s,,1
https://chaser.com.au/page/7/?s,,1
https://chaser.com.au/national/ato-to-reclassify-houses-as-luxury-items/,"
ATO to reclassify houses as luxury items ",1
https://chaser.com.au/page/6/?s,,1
https://chaser.com.au/page/4/?s,,1
https://chaser.com.au/page/3/?s,,1
https://chaser.com.au/?s,,1
https://chaser.com.au/entertainment/byron-bay-worried-that-influencers-will-hurt-their-reputation-as-anti-vax-narcissists/,"
Byron Bay worried that influencers will hurt their reputation as anti-vax narcissists ",1
https://chaser.com.au/general-news/sky-news-successfully-debunks-evolution-by-turning-audience-into-neanderthals/,"
Sky News successfully debunks evolution by turning audience into Neanderthals ",1
https://chaser.com.au/general-news/local-man-now-very-clear-about-not-sexually-assaulting-milkshakes/,"
Local man now very clear about not sexually assaulting milkshakes ",1
https://chaser.com.au/national/labor-announces-net-zero-standing-in-the-way-of-coal-by-2050/,"
Labor announces ‘net zero standing in the way of coal by 2050’ ",1
https://chaser.com.au/general-news/peter-dutton-sues-body-shop-for-false-advertising/,"
Peter Dutton sues The Body Shop for false advertising ",1
https://chaser.com.au/national/auspost-claims-holgate-wasnt-home-when-they-tried-to-deliver-her-an-apology/,"
Auspost claims Holgate wasn’t home when they tried to deliver her an apology ",1
https://chaser.com.au/news/queen-farewells-prince-philip-by-returning-to-reptilian-form-and-devouring-him-whole/,"
Queen farewells Prince Philip by returning to Reptilian form and devouring him whole ",1
https://chaser.com.au/general-news/australia-in-trouble-after-learning-they-can-only-send-vaccinated-people-to-olympics/,"
Australia in trouble after learning they can only send vaccinated athletes to Olympics ",1
https://chaser.com.au/general-news/news-corp-outraged-after-learning-gullible-has-been-taken-out-of-dictionary/,"
News Corp outraged after tipoff ‘gullible’ has been taken out of dictionary ",1
https://chaser.com.au/page/10/?s,,1
https://chaser.com.au/page/8/?s,,1
https://chaser.com.au/entertainment/tucker-carlson-wasnt-accidentally-racist-we-hired-him-to-be-intentionally-racist-lachlan-murdoch/,"
“Tucker Carlson wasn’t accidentally racist, we hired him to be intentionally racist” Lachlan Murdoch ",1
https://chaser.com.au/national/channel-7-spotted-burying-ben-roberts-smith-story-in-tupperware-container-out-the-back-of-martin-place/,"
Channel 7 spotted burying Ben Roberts Smith story in tupperware container out the back of Martin Place ",1
https://chaser.com.au/general-news/new-rollout-plan-to-see-all-australians-vaccinated-by-2029/,"
New rollout plan to see all Australians vaccinated by 2029 ",1
https://chaser.com.au/national/pm-announces-vaccine-rollout-will-begin-sometime-in-the-near-hey-whats-that-behind-you/,"
PM announces vaccine rollout will begin “sometime in the near… hey what’s that behind you?” ",1
https://chaser.com.au/general-news/kerry-stokes-sues-ben-roberts-smiths-backyard-for-defamation/,"
Kerry Stokes sues Ben Roberts-Smith’s backyard for defamation ",1
https://chaser.com.au/world/prince-philip-definitely-still-dead-rolling-news-coverage-confirms/,"
Prince Philip definitely still dead, rolling news coverage confirms ",1
https://chaser.com.au/general-news/we-know-prince-philip-was-racist-thats-why-we-loved-him-says-pm/,"
“We know Prince Philip was racist, that’s why we loved him” says PM ",1
https://chaser.com.au/general-news/another-englishman-fails-to-reach-a-century/,"
Another Englishman fails to reach a century ",1
https://chaser.com.au/national/dont-blame-me-for-this-mess-god-tells-morrison/,"
“Don’t blame me for your mess” God tells Morrison ",1
https://chaser.com.au/national/chauvin-ruling-shows-justice-system-works-if-you-simply-stage-largest-protest-in-history/,"
Chauvin ruling shows justice system works if you simply stage largest protest in history ",1
https://chaser.com.au/national/guy-that-laughed-about-pacific-islands-sinking-suddenly-doesnt-like-mean-jokes/,"
Guy that laughed about Pacific Islands sinking suddenly not keen on mean jokes ",1
https://chaser.com.au/general-news/engadine-maccas-suffers-flashback-after-disturbing-image-of-pm-squatting-emerges/,"
Engadine Maccas suffers flashback after disturbing image of PM squatting emerges ",1
https://chaser.com.au/page/13/?s,,1
https://chaser.com.au/page/11/?s,,1
https://chaser.com.au/general-news/queen-asks-advisors-whether-its-too-early-to-set-up-tinder-account/,"
Queen asks advisors whether it’s too early to set up Tinder account ",1
https://chaser.com.au/page/15/?s,,1
https://chaser.com.au/entertainment/oscars-regret-hiring-m-night-shaymalan-to-direct-ceremony/,"
Oscars regret hiring M. Night Shaymalan to select best actor award ",1
https://chaser.com.au/national/banned-from-facebook-craig-kelly-forced-to-turn-to-onlyfans/,"
Banned from Facebook, Craig Kelly forced to turn to OnlyFans to spread conspiracies ",1
https://chaser.com.au/general-news/man-who-has-no-problem-with-police-murdering-suspects-suddenly-very-concerned-about-fair-trials/,"
Man who had no problem with police murdering suspect suddenly very concerned about fair trials ",1
https://chaser.com.au/national/scott-morrison-sets-aside-april-31st-to-meet-brittany-higgins/,"
Scott Morrison sets aside April 31st to meet Brittany Higgins ",1
https://chaser.com.au/general-news/nation-rush-to-mourn-deceased-prince-in-hopes-of-scoring-day-off-work/,"
Nation rush to mourn deceased Prince in hopes of scoring day off work ",1
https://chaser.com.au/general-news/chris-uhlamnn-fights-truth-to-power-by-asking-the-pm-how-are-you-so-good-at-everything/,"
Chris Uhlmann fights truth to power by asking the PM “how are you so good at everything?” ",1
https://chaser.com.au/general-news/why-is-it-not-called-mothers-and-fathers-day-pouts-mens-rights-activist/,"
“Why is it not called Mother’s and Father’s day?” pouts Men’s Rights Activist ",1
https://chaser.com.au/general-news/we-faked-a-story-about-fairy-bread-being-cancelled-and-the-media-took-it-hook-line-and-sinker/,"
We faked a story about Fairy Bread being cancelled, and the media took it hook line and sinker ",1
https://chaser.com.au/page/13/?s,,1
https://chaser.com.au/general-news/scott-morrison-promises-to-cut-inner-city-lefties-in-half-by-2030/,"
Scott Morrison promises to cut inner city lefties in half by 2030 ",1
https://chaser.com.au/world/thank-you-to-george-floyd-for-choosing-to-be-murdered-so-white-people-can-learn-murder-is-bad-nancy-pelosi/,"
“Thank you to George Floyd for choosing to be murdered so white people can learn murder is bad”- Nancy Pelosi ",1
https://chaser.com.au/general-news/why-do-school-kids-hate-cops-say-police-in-the-middle-of-strip-searching-teen/,"
“Why do school kids hate cops?” say police in the middle of strip searching teen ",1
https://chaser.com.au/world/gone-too-soon-prince-philip-dead-at-182/,"
Gone too soon: Prince Philip dead at 182 ",1
https://chaser.com.au/national/duke-of-edinburgh-asked-whether-he-wishes-to-make-any-final-racist-remarks/,"
Duke of Edinburgh asked whether he wishes to make any final racist remarks ",1
https://chaser.com.au/national/morrison-rewards-himself-with-new-trophy-to-celebrate-vaccine-rollout/,"
Morrison rewards himself with new trophy to celebrate vaccine rollout ",1
https://chaser.com.au/national/scott-morrison-claims-australias-vaccine-rollout-is-a-local-council-responsibility/,"
Scott Morrison claims Australia’s vaccine rollout is “a local council responsibility” ",1
https://chaser.com.au/national/really-swell-guy-peter-dutton-finishes-up-another-day-of-caring-for-orphaned-puppies/,"
Really swell guy Peter Dutton finishes up another day of caring for orphaned puppies ",1
https://chaser.com.au/general-news/local-mum-thanks-kids-for-shit-present-that-their-dad-bought/,"
Local mum thanks kids for shit present that their dad bought ",1
https://chaser.com.au/national/local-banker-forced-to-defraud-2-more-grandmas-a-week-following-cocaine-price-hike/,"
Local banker forced to defraud 2 more grandmas a week following cocaine price hike ",1
https://chaser.com.au/world/im-not-guilty-but-if-i-say-my-version-of-events-ill-sound-guilty-says-george-floyds-murderer/,"
“I’m not guilty, but if I say my version of events I’ll sound guilty” says George Floyd’s murderer ",1
https://chaser.com.au/national/not-the-time-to-discuss-war-crimes-says-man-at-press-conference-about-afghanistan-war/,"
“Not the time to discuss war crimes” says man holding press conference about Afghanistan war ",1
https://chaser.com.au/national/australia-exits-afghanistan-after-liberating-country-from-brutal-australian-forces/,"
Australia exits Afghanistan after liberating country from brutal Australian forces ",1
https://chaser.com.au/national/i-supported-firing-holgate-because-it-is-not-my-job-to-oppose-says-opposition-leader/,"
“I supported firing Holgate because it is not my job to oppose” says opposition leader ",1
https://chaser.com.au/national/man-gets-blood-clot-trying-to-understand-scomos-rollout-plans/,"
Man gets blood clot trying to understand Scomo’s rollout plans ",1
https://chaser.com.au/national/tracy-grimshaw-raided-by-the-afp/,"
Tracy Grimshaw raided by the AFP ",1
https://chaser.com.au/general-news/take-the-chaser-quiz-can-you-guess-the-australian-politician-based-on-their-scandal-history/,"
Take The Chaser’s FFS Quiz: Can you guess the Australian politician based on their scandal history? ",1
https://chaser.com.au/national/liberals-commit-to-equality-by-having-women-create-50-of-their-fuck-ups-by-2021/,"
Liberals commit to equality by having women create 50% of their fuck ups by 2021 ",1
https://chaser.com.au/national/anarchy-on-the-streets-as-rule-of-law-shattered-following-christian-porters-demotion/,"
Anarchy on the streets as rule of law shattered following Christian Porter’s demotion ",1
https://chaser.com.au/national/scott-morrison-reassures-the-nation-that-he-has-received-his-vaccine/,"
Scott Morrison reassures the nation that he has received his vaccine ",1
https://chaser.com.au/national/dictator-dan-strikes-again-as-perth-goes-into-3-day-lockdown/,"
Dictator Dan strikes again as Perth goes into 3 day lockdown ",1
https://chaser.com.au/national/george-christensen-steps-down-from-politics-to-spend-less-time-on-holiday-in-the-philippines/,"
George Christensen steps down from politics to spend less time on holiday in the Philippines ",1
https://chaser.com.au/national/police-minister-concerned-blm-poster-in-classroom-might-teach-students-to-value-black-lives/,"
Police minister concerned BLM poster in classroom might teach students to value black lives ",1
https://chaser.com.au/world/tesla-cars-start-killing-their-own-drivers-in-bold-next-step-towards-fully-driverless-cars/,"
Tesla cars start killing their own drivers in bold next step towards fully driverless cars ",1
https://chaser.com.au/general-news/government-release-revised-consent-video-replacing-milkshake-with-a-desk/,"
Government release revised consent video replacing milkshake with a desk ",1
https://chaser.com.au/national/abc-isnt-efficient-says-government-spending-3-7mil-on-a-milkshake-ad/,"
“ABC isn’t efficient” says government spending $3.7mil on a milkshake ad ",1
https://chaser.com.au/national/chaser-fact-check-pms-claim-that-cafes-wont-stop-climate-change-is-bang-on/,"
CHASER FACT-CHECK: Pm’s claim that cafes won’t stop climate change is bang on ",1
https://chaser.com.au/national/pm-announces-he-has-secured-a-coffee-from-a-cafe/,"
PM announces he has ‘secured’ a coffee from a cafe ",1
https://chaser.com.au/national/nation-shocked-as-morrison-decides-not-to-distribute-vaccines-we-never-had-in-the-first-place/,"
Nation shocked as Morrison decides not to distribute vaccines we never had in the first place ",1
https://chaser.com.au/national/pm-clarifies-christine-holgate-was-fired-from-auspost-for-not-being-corrupt-enough/,"
PM clarifies Christine Holgate was fired from AusPost for not being corrupt enough ",1
https://chaser.com.au/donations/crowdfund-to-defame-peter-dutton/,"
Crowdfund to defame Peter Dutton ",1
https://chaser.com.au/national/pm-realises-they-somehow-missed-the-crucial-starting-the-vaccine-rollout-step-of-the-rollout/,"
PM realises they somehow missed the crucial ‘starting the vaccine rollout’ step of the rollout ",1
https://chaser.com.au/national/pm-who-cant-tell-the-difference-between-taiwan-and-hong-kong-ready-to-take-on-china/,"
PM who can’t tell the difference between Taiwan and Hong Kong ready to take on China ",1
https://chaser.com.au/general-news/facebook-is-undemocratic-says-man-who-tried-to-overturn-an-election/,"
“Facebook is undemocratic” complains man who tried to overturn an election ",1
https://chaser.com.au/national/pm-announces-india-ban-exemption-we-must-evacuate-adani-executives/,"
PM announces India ban exemption, ‘We must evacuate Adani executives’ ",1
https://chaser.com.au/national/we-are-not-trying-to-stop-ndis-funding-claims-government-who-created-a-task-force-designed-to-stop-ndis-funding/,"
“We are not trying to stop NDIS funding” claims government who created a task force designed to stop NDIS funding ",1
https://chaser.com.au/national/new-jurassic-park-movie-to-explore-what-it-would-be-like-if-country-were-run-by-dinosaurs/,"
New Jurassic Park movie to explore what it would be like if country were run by dinosaurs ",1
https://chaser.com.au/national/politically-connected-commentators-heroically-reveal-serious-issues-they-kept-quiet-for-years/,"
Politically connected commentators heroically reveal serious issues they kept quiet for years ",1
https://chaser.com.au/national/cabinet-reshuffled-ruler-of-australia-remains-the-same/,"
Cabinet reshuffled, ruler of Australia remains the same ",1
https://chaser.com.au/national/peter-dutton-promoted-to-prime-minister-for-potatoes/,"
Peter Dutton promoted to Prime Minister for Potatoes ",1
https://chaser.com.au/national/pm-announces-marise-payne-is-the-prime-minister-to-take-the-blame-on-women/,"
PM announces Marise Payne is the “Prime Minister to Take the Blame on Women” ",1
https://chaser.com.au/national/liberal-mp-sent-to-empathy-training-after-brutally-murdering-backpacker-in-cold-blood/,"
Liberal MP sent to empathy training after brutally murdering backpacker in cold blood ",1
https://chaser.com.au/general-news/nation-visits-anger-consultant-to-learn-how-to-respond-to-morrison/,"
Nation visits anger consultant to learn how to respond to Morrison ",1
https://chaser.com.au/world/us-military-to-assist-with-suez-canal-after-learning-there-is-oil-on-the-boat/,"
US military to assist with Suez Canal after learning there is oil on the boat ",1
https://chaser.com.au/national/please-respect-my-privacy-pleads-man-who-filmed-up-a-womans-skirt/,"
“Please respect my privacy” pleads man who filmed up a woman’s skirt ",1
https://chaser.com.au/entertainment/billionaire-who-beats-up-the-mentally-ill-somehow-not-the-villain/,"
Billionaire who beats up the mentally ill somehow not the villain ",1
https://chaser.com.au/general-news/men-dont-need-consent-lessons-claims-guy-who-wrote-love-letters-to-students/,"
“Men don’t need consent lessons” claims guy who wrote love letters to students ",1
https://chaser.com.au/page/11/?s,,1
https://chaser.com.au/page/9/?s,,1
https://chaser.com.au/national/people-from-the-inner-city-wont-stop-climate-change-says-pm-citing-himself-as-an-example/,"
“People from the inner city won’t stop climate change” says PM citing himself as an example ",1
https://chaser.com.au/page/12/?s,,1
https://chaser.com.au/national/pm-announces-new-astrazeneca-vaccine-rollout-exclusively-for-women/,"
PM announces new AstraZeneca vaccine rollout exclusively for women ",1
https://chaser.com.au/world/matt-gaetz-announces-move-to-australian-liberal-party/,"
Matt Gaetz announces move to Australian Liberal Party ",1
https://chaser.com.au/were-looking-for-some-new-pranksters/,"
We’re looking for some new pranksters ",1
https://chaser.com.au/national/wed-never-actually-jail-overseas-arrivals-says-country-with-island-prison-full-of-overseas-arrivals/,"
“We’d never actually jail overseas arrivals” says country with island prison full of overseas arrivals ",1
https://chaser.com.au/national/nation-that-lost-a-war-to-emus-reckons-it-can-take-on-china/,"
Nation that lost a war to emus reckons it can take on China ",1
https://chaser.com.au/mailing-lists/,"
Mailing Lists ",1
https://chaser.com.au/national/pot-calls-kettle-racist/,"
Pot calls kettle racist ",1
